processed_tweet,class
 slightlyadjusted rt  alls niggers wanna do is fuck  tweet  and drink pineapple soda all day,0
 somethingigetalot are you    asian  black  hawaiian  gay  retarded  drunk ,0
 southcarolina is full of white trash,0
 thingsiwillteachmychild how to play deez niggas n bitches dat be snakes,0
 trayvonmartin referred to zimmerman as a  creepy ass cracker   racist thug ,0
 tweetlikepontiacholmes       i do the pontiac sprinkler     nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,0
 vinitahegwood can get a job at the naacp  or as the ag  i hear they like  diversity and tolerance   as long as you ain t a cracker  tcot,0
 virginia is full of white trash ,0
 westvirginia is full of white trash ,0
 faggots are merely a  scientific indicator that something is wrong gt  do not celebrate as  unique indiviuals  for they are  cancer gt ,0
 firefighter is a job for white trash,0
 milesthompson  goauche  wetback  ca ,0
                   racist all month    fuck u honkey       ,0
          rt   lmfao rt   if you watching porn  amp  beating off  amp  yo homie text u  amp  it show his name in the banner you re a faggot,0
                   fucc nicca yu pose to be pullin up,0
                            i just said that rt   my tl gotta chill with this pretty face challenge foolishness  y all hoes agg,0
                           rt   them  st    charlotte goon niccas gon fkkk around and burn bank of america stadium down         ,0
          rt   they recruited buku fags in here             a warehouse is no place for them          ,0
      lbum de fotos  gaywrites  in the making  a project by and for queer students at harvard  highlights the    ,0
         this is awkward u fag    wonder who s awesome tank that is          ,0
         if u ask me  every bitch gay       or  bi ,0
         we agree    do you   fuck yes  i do  send those illegal  wetbacks home   ,0
         hell ya they should make more malt liquor ads like this      dis be heaven fo a colored man,0
         tea bag a bitch         pahahaha,0
          fucking white people   bitch wut ,0
          you like      you needs to              you a hoe     i m      breaking      suck my dick ,0
         dudes shaving without it being for an athletic purpose is gay af        you re retarded ,0
         when you live this gay  you can t be afraid of two black dicks in your butt  you fucking queer,0
         i love the song  john doe   dope          faggots,0
         just got done with my last final and i m walkin around campus like i own this place        queer ,0
         you dammn weed potheads are annoying af on twitter        weed and pot are the same thing faggot,0
        who is she  rt   y all hype that bread loaf chick up but i m a chill        a dyke rapper,0
         cowboys win games during the regular season but when they get to the playoffs that trash af lol        hating ass nigga,0
         white kids favorite activities    calling people  niggers  on xbox   fucking their pet    shooting up their school       ,0
          shut the fuck up  you fucking trash nigga  work on another ring        ,0
           damn they got wifey                                                                                  fall back nigga             i don t share my hoes,0
         shoot that nigga and his shorty bitch                                                         ,0
         my phone charging backwards                  retarded,0
         you aint special niglet rt   when i m chilling wit greg ppl walk up to me to ask me to take pics       hatin,0
                           rt   lemme find out you niggaz letting bitches shit on yo faces                  niggas is weirdos,0
                   u a regular nig  u played out b        lol ima b ig famous       these days that counts for somethin,0
         no need to thank me  killing niggers is it s own reward           dis my pal from our graduation when we was   ,0
         i hate that bitch  amp  the fact that oomf likes her   just no                  retweeettt     x ,0
                                                        bitch ass nigga fuck you                                                                                                      lt   these hoes ain t got no manners  realtalk,0
         that one friend who you greet with an insult           niggers,0
           if fleek in yo vocabulary you a faggot        ,0
           faggot         respect,0
         o u unfollowed me so i can t dm u  so i ll say it here  you re a rude cunt lmao        you can dm me,0
         i want affection      but i also want to be left alone         do you see the issue here        fag,0
        why yall think its ok to be faggots         and want us to be cool with them,0
 amp when they say him they mean dyke ron  wcw ,0
  don t sleep on ma niggah chood                              ,0
  happppppy birthdayyyy                                lol   niggahs is really    in this bitch                        ,0
  if this ugly ass niggah can be with her   i can too   tf she with chuu baka for anyways this niggah look like a    ,0
  this niggah pharrell or whatever this niggah name is don t deserve shit for that white ass gay song  ,0
 damn you  whitey   you ll get a kick out of the  newest form of white privilege  ,0
 goes to olive garden   turns into a cracker      goes black friday shopping    turns into a nigger  ,0
  me gusta  typing like a retard to make the other person look dumber by pretending to agree with them  bazinga,0
       gt rt   ankle socks in general are for the faggots bro,0
   aaaaaaaaand it begins  rt   fucking niggers that s all kentucky is and ever will be,0
   you re white  aren t you   rolls eyes  rt    rip to my nigga trayvon  a worthless spear chucker,0
  beer queer,0
  hoes   dyke,0
  old hoes  a ponk  and a dyke outchea having  girl talk ,0
     white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw                            ,0
        mo  let        kill some crackers  kill their babies  new black panthers hijack his  ferguson presser ,0
 i bet he s a starbucks queer,0
 good enough fag,0
  faggot,0
 but i live in the south  lot more here  my pop lives in rhode island  hardly no niggers there ,0
 so basically you like the background music  fag ,0
 i hate that nigger ,0
 those niggers disgust me  they should have dealt with     years ago  we wouldn t be having these problems now ,0
 this is retarded,0
 can t wait for more peds is that it  roid munching faggot,0
  homo ass crackers,0
 fight me   on   ur choice of game faggot see what happens,0
   they are wrong you are a nigger always causung mischief among ur own people,0
  you be totally correct anthony  can       t be livin round dem colored folk  day be bringin down da hood and dem propery value,0
 the  you       re going  have   kill crackers  amp  their babies        new black panthers  credibilityshot  fergusonriot  justice mikebrown,0
 guys not supposed to get their ass sucked queer,0
 welcome to the movement  anyone who gets even minor publicity is a queer  fed  or jew  well  according to the internet  ,0
      ape  fuck u broke ass racist,0
 i do not like talking to you faggot and i did but in a nicely way fag,0
 answer my snapchat faggot   butthurt,0
  do i literally eat asshole for a living  is that what i actually do faggot  you seem a little confused  ,0
 so ur faggot teammate  hits someone late like that and u say he s yapping and yelling  u guys def    in the room,0
  send them damn beaners back where they belong n the us aint it,0
   cracker jack shut the fuck up,0
 you d like that wouldn t you fag,0
 he looks like a fag and his time line is boring zzzzzz,0
  your what s wrong with the white race you fuckin coon slaying piece of poop please die alone,0
 lmfao go to bed whitey          ,0
  pass the fosters faggot,0
 yea    what did it do for maidana  it made him a greedy faggot loser  atleast broner is black   ,0
   yea u stupid faggot  i m not leaving till like    pm  want a ride ,0
 never followed him ignorant monkey,0
       of a citizen  i said it for you maria you spic,0
  your a nasty nigger whore,0
 they said some bullshit  damn niggers,0
 wow    are you comin back up here                                       they some bitch niggas,0
 i d like to rape the bitch that posted that ,0
 fuck you  faggot ,0
 these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,0
  sand nigger ran over some kidd,0
 i don t like the sand nigger but it s entertaining like   knockdowns,0
 joe cortez is the ultimate faggot that fight proved it,0
 all us beaners were pissed like robert when the jew ref stopped it,0
 true sand niggers  amp  bum brits claim he s a atg hall of fame legend smh,0
  racist  tx trash racist why wld u intvw  n ask racist questions itwas so disrespectful,0
 hey sir house nigger  uncle tom aren t you from grand ole mississippi  i rest my case ,0
 is a fag  hesgay,0
 you styl gotta get dem tweets off my nig,0
 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,0
 stay talking defending your fuckboy ass boyfriend or what  go suck him off while youre at it faggot,0
   you need to accept the fact that you re both hipster faggots ,0
 your gay stfu  dumb monkey,0
 chase you god damn faggot                                     ,0
 be gone my nigguh,0
  faaaaggggottttt  speaking with the blonde hair and confused  you re a hypocrite  cuz you re a faggot,0
 shut up chink    ,0
  you call someone a faggot and then say to kill themselves  you are a pathetic human being  a fucking disgrace ,0
 you don t know what your talking about retarded faggot,0
 true  i miss yall man  yall are my brothers  is mikey starting  and what about the chink  lmfao,0
 because you re a fag,0
 wetback                                                       ,0
   the nig is fun to watch got to admit  ebola boy can speak broken spanish too lol,0
 you look like fucking shrek bitch,0
  get on cunt,0
 bitch shut the fuck up goddam your a slut bitch whore nigga,0
 jk i d fuck a dog before i fuck you fish pussy,0
 because if you support lesbians you have to support faggots there s no difference ,0
 that hoe on some other shit bro rt and    x better rn that a nigga high,0
 i d hate feeling like a faggot too punk ass hoe,0
 how about you wash my butthole out with your tongue you little faggot,0
 whatever  fuck all those assholes  they re niggers  they all look alike to me ,0
 those little  isis faggots usually have bags over their heads anyway   makes bullet placement interesting thru a scope ,0
  fags                  ,0
  purple  amp  pink    for the faggots who want to be protected   by the police  instead of bearing arms if need be ,0
   shut up fag,0
 this like a retarded wu tang clan,0
 beans u beaner ,0
 you wouldn t know fag,0
  an enraged          lb mike brown lethal weapon on legs his hatred   the police  amp  whitey added fuel   his arsenal,0
  i just learned how many retards you can find when you search trending topics ,0
 that s not bias  it s an objective fact that philly fans are cunts ,0
  movies don t matter as long as you do coon shit with coons you re a nigga ,0
 sounds like a good idea  but i want my word to be spread  jews  niggers and commies alike ,0
  you both sure do you want to give a free pass to every border jumper in this country you two are what s wrong here,0
      because she s a nigger,0
  you have a redneck attitude  the same people that think benghazzi is real think fox fake nws is real  your one,0
 becuz no man should celebrate his bday at a drreams  faggot,0
  hoe don t make me put up screenshots of your texts to me hoe,0
 jus wanted to let y      ll know hope the hurricane kills your soca sunday trash  lordwillin,0
 ew queer white thirsty bitch,0
 fugly queer white trash,0
 omg gtfo white faggot,0
 ratchet looking nigger,0
 you understand you look like a real life dyke right  like you look like a wnba dyke bro  a sports bra  amp  bball shorts wearing dyke,0
 yes now get off twitter  you lame negros should have never learned how to use the internet,0
 hahahaha youza fuck wigger,0
  leave you beaner retard ,0
 heyyyyyyyyyyy fag boy am i gonna watch you play ,0
 says the old man    i hope you can survive another    years  you silly jigga boo monkey,0
 hoe don t tweet me,0
 hope you guys do get attacked for supporting sopa  bunch of dirty snake faggots ,0
 go pray in a church or something fag  no one cares about your religious bullshit ,0
   that band is white trash  and only white trash would buy that album ,0
 julie tell them crybaby blacks to get someone blk  and dress them up white faced      niggers always whining ,0
  haha ight nig calm yoself,0
 fucking block your white ass because you try to start shit like a fucking queer so fuck you nigga,0
 ight nigga haha fucking queer has to clear his schedule,0
 roid rage much faggot ,0
 legit retard,0
  they want what i got  i want what they got  america they got the word nigger  i want it to,0
 i m jus tryna vaca away from the niggers bro ,0
 sion is a faggot  very meh ganks pre   and post   his ganks are still pretty meh he s just a tank  nothing special imo mao  ,0
   your low info redneck dumbasses vote for these corporate shills that idiots like you believe  dummies,0
 move out of our country teabaggers ,0
 those god damn chinks  ,0
  niggerfood  niggerperson  you  are  a  nigger,0
 ok wat ever u say whitey  u prolly never even seen shaft ,0
 shut up lizard faggot nigger cunt,0
 ya i know all the slang i m racist i h  porch monkies,0
 if the faggots can have a page y cant they faggots offend me more than them,0
 im american  don t give   shits about the beaners  ship them beaners back,0
 y don t that bitch just shoot herself  so sick of all those whores ,0
 that was so gay  and i was tanning bitch  juvie made me white,0
 happy cuz i woke up white and not a nigger ,0
 nigger  ,0
 can you speak one coherent sentence without sounding like a nig  seriously ,0
 it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,0
 ok u fat precious lookin ass bitch  u big fat back at the barnyard lookin ass bitch  i can fix my grammar but u still fat,0
 that s not even a real word  must have hit a blunt and started making up shit with your nigger ass lol,0
 done that spell check we know you meant fat liberal dyke feminist nazi bitches,0
 you a fatherless wallet carrying ass video game playing ass negro breh  you filth  no way you can afford to date a  twitterhoney ,0
 randies are fags,0
 just fuckin roasted this faggot,0
   we should hang out ovenjew  have a lot in common  people waste time on nigs  jews r r problem ,0
 that should read suck on my bacon encrusted middle finger muslim twats,0
  yourself  faggot buy a dictionary,0
  you can always gets da colored folk back in da cage wit da kfc,0
 nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,0
   but   country music listeners really are hicks and alcoholics                   ,0
   and fuck you too ya little bitch you look like a mexican sucking a cock in ur profile,0
 niger,0
   i m partial  faggot  homo   both fairly describes the same sick twisted assholes out there ,0
  what do you want fag,0
  your a fag,0
 shut up you stupid bitch,0
 fag,0
 you don t know shit about me faggot bitch,0
 fag,0
 faggot,0
 not funny u faggot,0
 ur brother looks so queer and ugly,0
 i remember his nephew lucas crying and dan saying  quit being such a pussy and grow a pair  or something                     dans so funny ,0
  good leave you stupid faggot,0
 huh  lol mad nigger is mad,0
   lmao madonnas music sucks  yeah you re fucking stupid if you think gaga is better  retard,0
 happy birthday faggot,0
 and how am i assume shit   hmm cuz u don t know what fuck u talking about crackers these days ,0
 i guess blaspheme to your allah is ok if your pos muzzie huh    ,0
 sit down and stfu raghead  ,0
 sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag,0
 damn took this dumb spic nearly   days to respond  wuz really good tho beaner ,0
 shut yo beaner ass up spic and hop your faggot ass back across the border little nigga  go listen to some pitbull,0
 fuck u nigger,0
  is an evil hate whitey racist who thinks delbert belton deserved it    ,0
 ugly nigger,0
  gotta love it when the islamofascist cow tries to make a retort about age  typical muzzie idiocy,0
 nahh   whatever you are spook or spic  i still don t like you   good day,0
   so if your    and in high school you dont have your own house you fucking faggot,0
 because ian s retarded,0
 i got a dyke wit a child as whse mgr  and she jus hired another girlboy dis week    ,0
  u pulled that queer shit as spon as u put no homo lol,0
 i have never seen such ignorant  illiterate pieces of shit in my life  bring in natl guard  amp  disperse this trash  ,0
 fucking losers wetbacks  sorrynotsorry,0
  now we have a ebloa case in texas  if we kill all the niggers we might be safe ,0
 idk you into mouthy spics on welfare with   kids and   baby daddy s ,0
 i don t bend that way queer  thanks for the offer it s flattering ,0
 go back to nigeria faggot,0
                             you re a coon,0
 yeah  me too  my people  the women  laff at the set apart men    they love the real niggas or niggers ,0
   they have mix  not all are retards  aap is maoists  terrorists congies and delusional retards,0
  hey aklve  im taking out the black ghetto trash  youre blocked nigger,0
 t o  was a faggot crybaby,0
 you a fag b,0
   anything to trash this black president  ,0
   you know what you did you faggot  there are literally thousands of people that have you on their radar homo,0
 geta life faggot,0
 your a cunt,0
 shut your legs hoe,0
   shit your ass and shabbat your moms pussy u jew bastard  ur times coming  heil hitler ,0
 shut up coon ,0
 i don t follow you because everything about your company is white trash ,0
 you really seem to love sandusky  weirdo  ur a creepy ass cracker ,0
 stop trolling me u creepy ass cracker   ,0
  she be what we say in da hood white trash,0
  y       all whitey gots to pay fo da preparations,0
  i wasn t serious bitch           bitch them niggas i named ain t fuccing witcho ass                    we all just making shit up                   ,0
 i swear to god nigger you better still hang with me before work  you got my hype,0
 do you work today niglet ,0
      ugly gay nigga bitch fucking peace of shit,0
      y all is coons n uncle toms,0
  fuck you  stupid ass coward ass punk bitch faggot ass racist piece of shit  punk  bitch  ain t worth my time ,0
 only one problem theres a  no pussies allowed  sorry    ,0
  lmao nigga shoulda said i would be balless bc dat cold bitch wont stop blowin me swaagg,0
  hey fag  i said this was your aunts   he  said it was you ,0
  jews and white race traitors have to be swept clean so the aryan race can survive ,0
 big fucking deal   cry baby niggers,0
 what did you search  gay redneck episode   play ,0
   your getting blocked faggot,0
 just like a nig to come home when ever they want,0
   look at this nigger ass nigger shit right here,0
  niggers ,0
 dont tell me what to do  fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot ,0
 kill yourself ugly ass monkey looking shit,0
  yes i m white washed because i don t go around repping my hood and saying a bunch of ignorant nig terms ,0
 fuck you fag ,0
 fuck you niggah you gay  lol,0
 it was paul mccartney faggot,0
 fuckin muzzie cunts  should all be deported  savages,0
 screw the ragheads ,0
   you fuckin yankees i ll be there in   months i ll meet you pussy,0
  dryer then them bad ass eyes of your fag,0
 back up faggot,0
 new york niggas quick to take off on a bitch in public boy lol     ,0
 fucking coon,0
 fuck your mother  faggot,0
 i don t hate that he blew up from      like a hipster but i hate the faggots who say they love his music based off his worst  ,0
 you retarded bruh lol,0
   hes a lying faggot  he used inspect element to change the number of dollars in his account ,0
 dumb haitian fake black faggots  go to haiti and neck yourself ,0
 lmaoo what a fag,0
 fuck those faggots,0
 i agree my fellow cracker ,0
 you are full of it  these so called children are not children  they are illegal border jumpers ms   gang members ,0
 and the only band that sucked worse live is those fags guns  amp  poses ,0
   i likes dat name  dem sand niggers needs to know dare place in da pecker order,0
 jesus i would love to do that and more to those muzzie torturers  fucking animal savages,0
 i m not a fag  gtfo,0
 so your a  nigger  fighter huh,0
  no ur wrong stupid nigger,0
 lmao  soft ass nigga trying to act all tough  you a little bitch  sit down and watch from the sidelines pussy ,0
 faggot sack,0
 whooooo  chelsey  fuck her lol  she juss a bitch,0
 bruh we can finally roll like rednecks       drug dealers  ,0
 well he s a cunt and he can suck my ass,0
 you re such a faggot,0
     why ur profile a one armed nigger ,0
 you tell me  coon ,0
 happy birthday nicca do coon shit in a responsible way ,0
 whats your youtube channel then faggot,0
  i wouldn t be proud that faze is in your family  he s horrible for one and two he s ugly trailer trash     fazeisgay,0
  oh woulda coulda shoulda ass niggas bitch ass nigga  what u bout oh ban wagging ass nigga catch your phase,0
    eye witness  joel is a faggot,0
 faggot,0
 okay closet fag,0
 ya fag,0
    ahmed and retard mikey for special olympic boxing,0
 das calld usen yo brain retard y would i whoop yo ass n front of da police,0
 i can guarantee a few things  you re white  you ve never been anywhere near a real ghetto  you  or a relative is a pig      ,0
   best believe we aint no christian slave brainwash black spooks miss white man  unlike yoself  she devil,0
   at the end of the day  they call yo dumb ass monkey  picka nanny hoe  but u luv them white devils,0
   will convince u that is a lame  you  a nigger liver believes it cuz you a nigger whore,0
 i don t give a flying fuck what a teabagger piece of human garbage like you thinks   ,0
 you are a teabagger scum who wants to threaten people with his penis extender  you are a danger to this country ,0
 if only there was a medal for that   we hate fags  but we won t kill them  medal  thank u for the privilege to let fags live ,0
 shame of you  self hating kike   we jews are g d s chosen people ,0
 you call  house nigger and she s the racist  fathom the hypocrisy in that statement ,0
    i fuckin  want out gt  i m tired of this bullshit faggot ass  closet racist  wannabe commune without railroad state gt   cali,0
 faggot ,0
 is the biggest faggot in the world,0
  just like when i call someone a nigger  it s not because they re black  it s about how they act  like a nigger ,0
 hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it  they love stupid people,0
 bye youre a queer,0
 this is a joke right  you re on here like ugh i wish i was a jap and tweeting in gook and shit and jerkin to hentai ,0
 u see a lame in that pic ofmine due to your infatuation with niggers  im hebrew i fite the children of satan in the streets,0
 fuck miley tranny looking now damn ass nigga,0
 one less little nigger that would grow up into a big nigger ,0
 i ve been knowing fag,0
 faggot,0
   do birds have a     out of wedlock rate  is it white fathers that are running away ,0
 you re a little bitch ,0
 aww y u so mad tho  a successful man lmfao  hut hugging as faggot ,0
 and  are faggots  kbye ,0
 and its people like you that give us all a bad name  you are a disgusting piece of shit of a person a nigger is what you are,0
  say that shit to my face  bruh  you a bitch for gettin in a man u dont know business  handle yo own shit,0
 you are a pussy without your guns bitch as spic  your daddy doesn t even respect the sperm he drop in your moms stank pussy,0
   coming to the rescue of some retard licking dirty skidmarks on the internet    you guys are fucktards,0
 that s actually non english  because  okiecops are filthy white trash who are all criminals ,0
 i thought you would like him cause of the chi but yeah he a faggot,0
 it       s the entire pats bandwagon  they       re faggots,0
 studies show that you re a faggot,0
 only faggots drive stick,0
 go jerk off to lollis faggot ,0
 she s a cunt,0
 kill the coons      ,0
 yeah so you better play with me ya nigger,0
 fuck your store bitch,0
  so you support  illegals  coming here and spreading disease among americans dream that bitch ,0
    he s a faggot and i don t like him     i m on the other side of the state ,0
   fuck outta here faggot that wouldn t even be a fair,0
  shut the fuck up fag ill beat the shit outta you,0
 insecure much put all you insults in one tweet  fucking dumbass dude i d wreck you you faggot,0
 i hate that faggot he so corny,0
 gay fags,0
 shit ill pay the premium to get away from these anything ass hoes,0
 the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,0
 fags,0
 fag,0
 aw drake is  do you sit in the corner and cry when you listen to him  lmfao  pussy dick rider  how drakes cock taste faggot ,0
 your picture makes you look like a serious fag   justsayin lol,0
 faggots  old people  people who can t drive  drunk people,0
 fuck brett farve redneck ass  he stuckup he don t give a damn lol he be on campus acting like he the shit,0
 you ll make the team  them niggas trash  lol,0
 fags,0
  i dont have any problems with zak  but you seem like a faggot ,0
  he s a faggot,0
    that s true idk why your even in this convo you dumb nigger attention whore,0
  lmao you stupid nigger,0
 hell naw fuck them bitches serves them right,0
 yea i forgot i was talkin to a degenerate faggot,0
 faggot,0
 you re a faggot,0
 hey fag i  lt   you,0
   man bitch am not gonna do a damn thang  if u don t like what i got to say then unfollow me,0
 nope not at all but i m stuck in a house full of fucking niggers help me escape          ,0
    shut up nigger,0
 status report  making a pit stop in canada to rape bitches,0
  woohoo  new black  kill cracker babies  panthers to the rescue   racist  trash  thugs  ferguson  fergusonriot,0
  nigger ,0
 oh shut your mouth i was talkin about the morning you fag,0
 naw dude i wish  they re white trash,0
 leave dyke,0
 you say waste a draft pick on manziel when we have mallet  that s why i m telling you to delete your account  you re retarded,0
 faggot,0
 i can give you some of my clothes so you can look like a cute dyke,0
 chink eyed  ,0
 may i jump in u ball less dick wad  as a conservative  feminist  disabled vet bitch  i wish u luck with a capital f  ,0
 happy birthday queer,0
 oh no  they drafted that gay ass that come out on tv  well u welcome to redskins nation  no queers just a lot of niggers ,0
 pats owner is a kike ,0
 with pills that nig will last   years  like magic j  that nig should hav died years ago  y all the first team to draft gay ,0
 your    and    nigga them hoes suck wayans brothers are not funny at all jamie foxx should be number  ,0
 your a fucking queer faggot bitch,0
   here ya go wetback  eat this   ,0
 ur pal  threat   apostate kufar  gt  i cld cut ur neck w sword of islam  amp watch u squeal like a bitch like daniel pearl ,0
 but that s what you call white trash with money     ,0
 no ud still be a fag if i was lolz,0
 ur a fag,0
 you re a fucking nigger,0
 like the new avi  my twitter is retarded and shows you in the cubs hat but when i stalk your profile it show the new one,0
 we are being overrun by mongrels because zog or the jews that run our countries want the white man to perish ,0
 haha bitch ima draw a webb in bullets round yo fuggin forehead  beamthat bitch i know where you reside,0
 nah she said you a fag,0
 this nigga                      know damn well you a coon,0
  she spelled faggots with an e you re so cool lol,0
  u guys are fags ,0
 that nigger music,0
 this bitch look like a fucking white trash trailer park queen lookin man bear pig  ,0
  america today  the rule of thumb is  when in doubt  blame  whitey ,0
 you had to throw in the faggot word smh smh smh,0
 youre racist against white people whigger  anti racist is a codeword for anti white  anti zionist is a codeword for antisemite ,0
 fuck you faggot,0
 yes you do retard ,0
 how many fuckin fags did a even get  shouldnt be allowed into my wallet whilst under the influence haha,0
 a faggot that needs to grow up,0
 you did a good job doing that to me and not texting back faggot,0
  you re reading you coon,0
 most of these people are followers of followers of truth  but they themselves are still niggers    their outlook  mind  amp  all ,0
 thanks for ignoring my texts fag,0
  you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds  what else i missing ,0
 suck my dick tacos el negro better,0
 you don t have any kids   what are you  one of them queers  ,0
 coons and monkeys like you disgust me  you minstrel show negro  crying about shit all the time you re a disgrace everywhere,0
  y all hire colored folk  only work half da day and throw da mail in da sewer if we ain t done,0
  teaching that pretend son to b a pussy  his son would have lace on his jock strap ,0
  them jigaboos aka homewreckers needs to get blocked ,0
 who cares tbh ones a shitty dirty argentino  amp  the other is a feather fisted nigger,0
 we hate the yankees though  right  i feel like i m really good at hating them ,0
 yeah he sucks just like the other fags who are    oh nevermind there are no fags in the  nfl,0
  i ll do it   in the uk   fag  means cigarette and a  faggot  is a bundle of sticks  you homo ,0
 fuck you spear chucker,0
 me too tyler it just makes me think that they re lil nigger baby hoodrats ,0
 wow u hoe is the term for women,0
 i don t hate the japs  but  i aint forgetting gettin japped either ,0
 whatever hoe bitch    them  fags  beat yall sad asses too,0
  fags  ,0
  your tits may be better looking but her face makes you like a asian or latina tranny  facts,0
 you look like a welfare bitch compared to latinas i date and fuck  you need fashion and makeup tips tbh,0
    mean bro fucking faggot,0
 die in a car accident then faggot,0
 faggot,0
 ur not sassy white trash change ur username,0
 learn how to type ya hillbilly,0
  humans are evil man  cutting tusks of these beautiful animals so chinks think the get a hard on ,0
 don t stop now half breed  i m just starting to learn about what makes you a dumb ass,0
 nigger,0
 probs that fag vhia,0
 do i have to repeat myself u white trash,0
 he looks like a pretty dyke                 ,0
   all u can pull is the fucking retard,0
   yo fat ugly ass couldn t even pull the ugly bitch in the school,0
   it s a nice way of callin y all honkies,0
 happy birthday faggot ,0
 i m going to blame the black man  since they always blame  whitey  i m an equal opportunity hater ,0
  to      gt  get past boot camp  and go active a few years  see what we really do daily you liberal pussy,0
 eat shit nigga bitch turd bag dick beetle,0
 nigga who s bitch u fucking cracker get your gay ass out my mentions ,0
 is a fag,0
   all racist ntx trash w  all hate to see this particular man in wh n not the  butler ,0
 so terms like honkey  cracker  peckerwood and stereotypes of white people fucking their kids and sisters isn t racist  sweet ,0
   bernstine is chi sox jew fag ,0
 fag,0
   thats just me rooting against a team i hate not banwagoning u retard u have a different favorite,0
 i love racism   blame whitey  for everything  now that you mention it  i bet the white man put the desert tortoise on  bundyranch,0
     oh shut up faggot get a disease overused on twitter,0
   its retarded,0
 fag ,0
 u gotta slow down these coon hrs all they know is love n hip hop  lebron   amp  fake love quotes,0
  don t forget nappy headed  butt ugly bitch  who s married to a muslim,0
 nah dude mostly just sound like a faggot,0
 i know im so kidding  some of bet is funny  i love when blacks call eachother ignorant and niggers  makes me not have to,0
   so why the fuck are still talking shit  you acting like a pussy ass nigga,0
 bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,0
 here let me say it more clearly since your retarded ass don t understand,0
 how would u know if i don t fuck with you  exactly you don t wtf i got shut your retarded ass up,0
 lmao why ur dad raised u to be a bitch made nigga,0
 oh am i lame but yo pussy ass didn t show up the fuck u talking bout oh scary ass white boy,0
 oh but i am and my grades say other wise so u can stfu and get off my twitter or u can box simple ass that pussy boy,0
 your so fucking retared its not even funny bitch im going to sleep u,0
                   alright fag what about this  ,0
 shut up bitch for i spit on you,0
 roberts is a fuckin fag          smack the shit outta him,0
 faggot,0
 stop oppressing me  have you heard of free speech  stop shoving your lifestyle down my throat   st amendment   tcot  teabaggers,0
